age,race,sex,native-country,workclass,education,education-num,occupation,hours-per-week,fnlwgt,capital-gain,capital-loss,marital-status,relationship
24,4,1,39,2,11,15,4,39,5383,0,0,0,3
1,4,0,39,0,0,12,0,23,18198,0,0,4,3
12,2,1,28,4,15,1,12,50,11814,0,0,4,1
18,4,1,39,4,11,15,1,39,11980,0,0,2,0
44,4,1,39,4,11,15,14,34,21311,0,0,2,0
4,4,0,39,4,15,1,8,12,13083,0,0,4,1
4,4,0,39,4,11,15,12,34,2070,0,0,4,3
17,2,1,39,7,11,15,6,34,4359,0,0,4,1
21,4,1,39,4,8,2,3,34,2591,0,0,0,4
38,1,1,30,4,11,15,8,34,20396,0,0,2,2
6,4,1,33,4,11,15,3,34,7023,0,0,4,1
4,4,0,39,4,15,1,1,3,13467,0,0,4,3
22,4,1,39,4,15,1,5,56,17023,0,0,2,0
40,4,1,39,6,11,15,5,56,16790,0,0,2,0
19,4,1,39,6,11,15,14,56,16989,0,0,0,1
39,4,1,39,4,10,7,10,45,12206,0,0,2,0
29,2,0,39,4,11,15,7,29,1235,0,0,2,5
4,4,0,39,4,15,1,12,50,7669,0,0,4,3
23,4,0,39,6,12,5,4,12,14038,0,0,5,4
43,4,1,4,6,15,1,4,28,13151,0,0,2,0
71,4,1,39,6,14,6,4,34,7433,0,0,2,0
38,4,1,39,4,11,15,5,39,16628,0,0,2,0
29,4,1,39,4,11,15,3,34,9068,0,0,2,0
19,4,1,39,4,9,4,10,34,19892,0,0,4,1
17,4,1,9,4,9,4,4,79,4372,0,0,0,1
39,4,1,39,4,5,10,6,34,7807,0,0,2,0
8,4,1,39,0,15,1,0,34,4414,0,0,4,3
16,4,1,39,4,0,12,5,34,10575,0,0,2,0
18,4,1,39,4,15,1,3,56,20443,0,0,2,0
34,4,1,39,4,15,1,4,39,8621,0,0,2,0
18,4,0,39,4,8,2,8,61,18395,0,0,4,1
17,4,1,39,7,9,4,10,50,15802,0,0,2,0
16,4,1,29,4,15,1,14,56,15515,0,0,2,0
8,4,1,26,4,11,15,8,45,16443,0,0,2,0
20,2,1,39,4,15,1,6,45,5829,0,0,2,0
10,2,1,39,4,11,15,12,56,10196,0,0,4,3
36,4,0,39,4,15,1,1,34,3948,0,0,0,1
33,2,0,0,2,12,5,10,23,4430,35,0,0,1
17,4,1,39,4,11,15,1,34,871,0,0,2,0
22,2,0,39,2,15,1,11,34,7054,0,0,4,1
65,4,0,39,0,8,2,0,74,8289,0,0,6,1
3,4,0,39,4,15,1,5,34,17729,0,0,4,1
18,2,1,39,4,15,1,1,34,14266,0,0,4,4
19,4,1,39,4,11,15,7,79,3706,0,0,2,0
34,4,1,39,6,11,15,4,23,15039,0,0,2,0
10,2,1,39,4,9,4,6,34,12910,0,0,4,1
35,4,1,39,4,3,8,5,34,7050,0,0,2,0
32,4,0,39,6,11,15,5,20,3755,0,0,0,1
27,4,1,39,4,11,15,8,23,3905,0,0,4,1
19,4,0,39,4,8,2,4,50,1334,107,0,2,5
8,4,0,39,6,9,4,4,34,17364,0,0,2,5
18,2,1,39,4,11,15,3,56,13095,0,0,2,0
46,4,1,39,4,1,13,12,14,14804,0,0,2,0
11,4,0,39,4,8,2,13,29,18707,33,0,4,3
7,4,1,26,4,4,9,7,34,11268,0,0,4,2
28,2,1,39,7,14,6,10,29,7828,47,0,0,4
28,4,1,39,0,12,5,0,34,12997,0,0,2,0
5,4,1,39,4,15,1,6,12,21579,0,0,4,3
43,4,1,39,4,1,13,11,34,1408,0,0,0,1
17,4,1,39,4,11,15,3,34,19562,0,13,2,0
3,4,1,39,0,11,15,0,34,17411,0,0,4,1
18,2,0,39,4,15,1,8,34,7699,0,0,0,4
28,4,1,39,5,14,6,10,29,9718,47,0,0,4
16,2,1,39,1,15,1,8,34,14611,0,0,0,1
16,4,1,26,4,5,10,6,34,13959,0,0,2,0
14,4,1,39,6,11,15,5,86,17069,0,0,2,0
1,2,0,1,0,15,1,0,34,13015,0,17,4,3
36,4,1,39,4,11,15,3,34,18845,0,0,2,0
8,4,1,39,4,15,1,6,34,5042,0,0,4,3
2,4,0,39,4,15,1,5,6,18509,0,0,4,1
2,4,1,39,0,11,15,0,23,12416,0,0,4,3
6,1,1,30,4,11,15,3,34,16915,0,0,4,3
19,4,1,39,4,1,13,14,34,6821,0,0,2,0
50,4,1,39,6,15,1,12,34,582,0,0,2,0
1,4,1,39,4,1,13,12,6,7628,0,0,4,3
22,4,1,39,4,11,15,7,34,7090,0,0,2,0
22,1,0,30,4,4,9,8,34,20096,0,0,3,4
5,4,1,39,4,15,1,3,28,15754,0,0,4,3
6,4,0,39,4,15,1,8,34,12072,86,0,4,3
38,4,1,26,4,4,9,7,34,14365,0,0,2,0
44,4,1,39,6,11,15,5,34,17639,0,0,2,0
5,2,0,39,7,15,1,1,34,11425,0,0,4,4
6,4,0,39,4,0,12,8,34,16361,0,0,4,1
21,4,0,39,5,15,1,4,39,8819,0,0,2,5
10,4,1,26,5,11,15,3,45,17825,0,0,4,2
6,4,1,39,1,9,4,10,34,19227,0,0,4,1
14,4,1,39,4,11,15,3,28,16938,0,0,4,1
35,4,0,39,1,12,5,1,34,17232,0,0,4,1
0,4,1,39,4,1,13,6,1,9625,0,0,4,3
8,4,0,39,4,15,1,1,34,4184,0,0,4,3
20,4,0,39,4,15,1,1,34,6562,0,0,0,1
60,4,1,39,2,9,4,1,5,6400,75,0,2,0
55,4,1,39,4,11,15,12,3,19466,0,0,2,0
50,4,0,39,0,11,15,0,65,11455,0,0,0,1
43,4,1,39,4,11,15,11,34,9828,0,0,0,1
24,4,1,39,4,0,12,12,42,17680,0,0,0,1
6,4,0,39,4,11,15,8,34,6018,0,0,4,1
33,4,1,39,4,11,15,3,34,16316,0,0,0,1
9,4,1,39,4,15,1,1,34,10815,0,0,2,0
8,4,1,39,4,1,13,7,34,18588,0,0,2,0
7,4,1,39,4,9,4,1,25,13364,0,0,4,1
32,4,1,39,5,15,1,4,45,7928,19,0,2,0
5,4,1,39,4,15,1,10,3,12280,0,0,4,1
24,4,1,39,4,11,15,3,34,8271,0,38,2,0
21,4,1,39,2,10,7,4,45,14212,0,38,2,0
45,4,0,39,4,15,1,8,56,3378,0,0,0,1
4,4,1,39,4,8,2,11,34,7694,0,0,4,1
13,4,0,39,4,15,1,1,34,47,0,0,2,5
32,4,1,39,4,5,10,3,34,15244,0,0,2,0
27,4,1,39,6,9,4,4,34,20143,0,0,0,1
24,4,1,39,6,11,15,3,34,13219,0,0,0,1
5,4,1,39,4,15,1,7,34,9732,0,0,4,1
9,4,0,39,4,15,1,8,23,19803,0,0,4,1
38,4,1,39,7,11,15,5,34,5515,0,0,2,0
46,4,1,39,0,9,4,0,34,3602,0,0,2,0
8,4,1,39,4,15,1,7,34,19500,0,0,2,0
5,4,1,39,0,15,1,0,34,20932,0,0,4,3
8,4,0,39,4,9,4,10,34,9878,0,0,4,3
28,4,1,39,4,15,1,12,34,997,86,0,0,1
13,4,1,39,2,11,15,6,17,1259,0,0,2,2
21,4,0,39,0,14,6,0,23,9991,0,0,0,1
23,4,1,39,6,9,4,12,45,12116,0,0,2,0
33,1,0,30,4,4,9,7,28,20178,0,0,2,5
3,4,0,39,4,15,1,1,3,20013,0,0,4,3
49,4,1,39,4,15,1,12,16,15262,0,0,2,0
24,4,0,39,2,13,0,6,23,4732,0,0,4,3
13,4,1,39,4,11,15,7,36,333,0,30,4,1
16,4,1,39,4,11,15,12,56,10414,0,0,2,0
23,4,1,39,4,11,15,12,56,15069,0,0,2,0
16,4,1,39,4,7,3,7,34,19698,0,0,3,4
17,2,0,39,4,12,5,4,34,11016,0,0,0,4
3,2,1,39,4,11,15,14,39,7401,0,0,4,2
3,4,1,39,4,1,13,3,56,10533,0,0,4,1
1,4,1,26,4,5,10,12,23,16043,0,0,4,3
26,4,1,39,4,15,1,12,34,19646,0,0,2,0
15,4,1,39,4,11,15,5,34,12381,0,0,4,3
8,1,1,30,4,9,4,12,38,2942,0,0,4,4
29,4,1,39,4,14,6,10,45,12443,0,0,5,1
24,4,1,39,5,11,15,12,50,2165,0,38,2,0
30,4,1,39,4,15,1,10,34,7573,0,0,2,0
13,4,1,39,4,11,15,7,34,7840,0,0,2,0
12,4,0,10,4,11,15,8,12,6523,0,0,3,1
9,4,1,39,4,11,15,14,66,1141,0,0,4,1
21,4,1,39,5,11,15,12,50,3244,0,0,0,4
36,4,1,39,4,15,1,7,34,3961,63,0,2,0
25,2,0,39,4,12,5,13,28,9839,87,0,0,4
7,4,1,39,0,5,10,0,56,12766,0,0,2,3
30,4,0,39,4,11,15,12,34,437,0,0,0,1
17,4,0,39,0,9,4,0,1,5610,0,0,2,5
28,1,1,37,6,11,15,3,34,6942,0,0,3,1
36,4,1,39,5,12,5,12,61,4343,0,0,2,0
6,2,1,39,4,9,4,1,16,9203,0,0,4,3
17,4,0,39,4,11,15,1,12,4868,0,0,2,5
22,4,1,39,4,11,15,4,56,12098,0,0,2,0
24,2,1,39,7,11,15,14,34,18892,0,0,2,0
29,4,1,26,4,11,15,8,28,4060,0,0,3,1
30,4,0,39,4,9,4,1,34,11778,0,0,0,1
15,4,1,39,4,11,15,7,34,9864,0,0,2,0
14,4,1,39,4,11,15,3,34,15727,0,0,0,4
16,2,0,39,4,8,2,7,34,10677,0,0,4,4
15,1,1,20,6,9,4,3,41,6682,0,0,0,4
14,4,1,39,4,7,3,4,34,2729,0,0,0,1
30,4,0,39,1,9,4,4,34,21534,0,0,3,1
13,0,0,39,4,11,15,1,34,19668,0,0,2,3
2,2,1,39,0,1,13,0,17,2076,0,0,4,3
14,4,1,39,4,11,15,8,34,16763,0,0,2,0
37,4,1,39,6,11,15,14,56,252,0,0,2,0
9,4,1,39,4,8,2,3,61,1056,0,0,2,0
58,4,0,39,0,11,15,0,74,16843,0,0,6,1
22,4,0,39,1,11,15,4,39,9499,0,0,4,4
40,2,1,39,4,2,14,1,34,19340,0,0,2,0
1,4,1,39,4,1,13,6,12,4204,0,0,4,3
8,2,1,39,4,7,3,7,42,14976,0,0,4,3
2,2,1,39,4,15,1,4,23,3645,0,0,4,3
41,4,0,39,4,9,4,10,28,2899,118,0,2,5
3,4,0,2,4,15,1,13,1,628,0,0,4,1
31,4,1,39,0,9,4,0,50,16801,0,0,2,0
11,2,0,39,4,15,1,1,34,2470,0,0,4,4
23,2,0,39,4,15,1,12,39,11891,0,0,4,4
2,4,0,39,4,15,1,8,12,9075,0,0,4,3
11,2,0,39,0,11,15,0,34,2316,0,0,4,4
13,4,1,39,4,9,4,4,56,1359,53,0,4,1
42,4,1,39,4,11,15,3,34,15190,0,0,2,0
11,4,1,39,4,11,15,3,34,1033,41,0,4,4
38,4,1,39,1,9,4,10,34,5490,0,0,0,4
42,4,1,39,6,11,15,4,45,6490,0,0,2,0
12,4,0,39,4,9,4,10,34,4472,15,0,4,1
7,4,0,39,1,9,4,10,23,18193,0,0,4,1
39,4,0,12,6,1,13,8,61,19763,0,0,6,4
32,4,1,39,6,11,15,5,50,6877,0,0,6,1
57,4,1,39,6,10,7,10,17,5951,0,0,3,1
16,4,1,39,4,11,15,3,34,10795,0,0,0,4
23,4,1,39,4,11,15,5,50,14242,0,0,4,1
38,4,0,39,6,5,10,8,56,20001,0,0,4,2
41,4,1,39,5,9,4,10,34,3373,0,0,2,0
22,2,0,39,4,12,5,4,56,3903,18,0,0,4
31,4,1,39,5,10,7,10,50,14264,110,0,2,0
15,4,0,39,7,15,1,11,31,10107,0,27,0,4
4,2,0,39,0,15,1,0,12,16837,32,0,2,5
12,4,1,39,4,11,15,10,34,17881,0,0,2,0
26,2,0,39,4,0,12,8,34,18993,0,0,5,1
9,2,0,39,4,9,4,1,25,2628,0,0,4,3
22,2,0,23,4,11,15,12,20,3110,0,0,3,4
21,4,1,39,5,9,4,10,66,15103,0,0,2,0
12,4,0,39,5,9,4,10,75,13224,0,0,0,1
14,4,1,39,4,11,15,7,39,1158,0,0,2,0
17,4,1,39,4,15,1,12,17,9999,0,0,2,0
5,4,1,39,0,15,1,0,28,1804,0,0,4,3
20,4,1,0,6,9,4,14,45,7473,0,0,2,0
21,4,1,39,4,9,4,4,45,17117,0,0,2,0
20,4,1,39,4,11,15,7,34,14569,0,0,4,1
37,4,1,39,5,9,4,4,45,14693,0,0,2,0
2,4,1,39,4,15,1,8,17,15535,0,0,4,3
7,4,0,39,4,13,0,7,23,8516,0,0,4,3
49,4,1,39,6,9,4,12,45,21469,0,0,2,0
15,4,1,39,4,9,4,4,34,20229,0,0,4,1
15,4,0,39,4,12,5,4,39,1599,0,0,4,1
27,4,1,39,4,9,4,12,34,8673,110,0,2,0
9,4,1,39,4,15,1,1,12,16771,0,0,4,3
45,4,0,0,2,12,5,10,45,18125,0,0,5,1
5,4,1,39,4,15,1,3,34,18136,0,0,2,0
43,4,0,39,4,5,10,7,34,7364,0,0,2,5
9,4,0,39,4,9,4,12,34,8398,0,0,4,1
18,4,1,39,4,9,4,4,39,13618,0,0,4,1
40,4,0,39,4,15,1,7,34,5909,0,0,6,4
45,4,0,39,4,8,2,12,34,5328,0,0,0,1
8,4,1,39,4,9,4,10,39,15048,0,0,2,0
27,4,1,39,1,11,15,3,34,15537,0,0,2,0
33,4,0,39,4,12,5,12,39,7571,0,15,0,1
12,4,0,39,1,14,6,10,50,18010,0,0,4,1
13,4,1,18,4,9,4,13,56,9627,0,0,4,1
30,4,0,39,1,9,4,4,34,9153,0,0,2,5
11,4,1,39,6,11,15,3,28,14021,0,0,0,1
18,4,1,39,6,15,1,8,56,8868,0,0,2,0
18,4,1,39,4,11,15,3,34,7515,0,0,2,0
35,4,1,39,2,10,7,4,34,16656,0,0,2,0
25,4,1,39,1,12,5,10,34,14548,0,0,2,0
33,4,1,39,2,15,1,3,34,21154,0,0,2,0
2,4,0,39,0,11,15,0,23,10479,0,17,4,3
37,4,1,39,4,11,15,1,34,3252,0,0,2,0
19,2,0,39,7,15,1,13,34,15662,0,0,4,4
38,4,1,39,4,11,15,3,34,11782,0,0,2,0
15,4,0,10,2,15,1,11,34,14451,0,0,2,5
9,4,1,39,4,9,4,10,34,14436,0,0,4,1
34,2,1,39,0,15,1,0,45,3663,0,0,0,1
30,0,1,39,4,11,15,14,34,20978,0,0,2,0
0,4,1,39,4,1,13,8,12,3352,0,0,4,3
42,4,1,39,6,5,10,5,66,15818,0,0,2,0
45,2,1,39,5,11,15,4,34,11635,0,0,0,1
16,4,1,39,4,8,2,11,34,1064,0,0,2,0
17,4,1,39,4,11,15,13,34,16491,0,0,4,1
23,4,1,39,5,14,6,10,34,7948,19,0,2,0
18,0,1,39,6,11,15,3,6,668,0,0,0,3
27,2,1,39,0,11,15,0,23,13379,0,0,2,0
13,4,1,39,4,1,13,7,34,7943,0,0,2,0
46,4,1,39,4,11,15,3,34,9490,0,0,2,0
57,0,1,39,0,0,12,0,23,15904,23,0,2,0
14,4,1,39,4,15,1,3,34,14351,0,0,2,0
43,4,1,39,5,1,13,14,34,21073,0,0,2,0
5,4,0,39,4,8,2,9,23,2116,0,0,4,1
20,4,1,39,4,15,1,3,34,15871,0,0,2,0
30,4,1,39,4,11,15,5,34,21200,0,0,2,0
20,4,0,39,4,11,15,1,34,11830,0,0,2,5
1,4,0,39,4,15,1,12,1,5678,0,0,4,3
34,4,1,39,4,9,4,10,45,21343,0,0,2,0
10,4,1,12,4,8,2,4,61,2383,1,0,4,1
29,4,1,39,4,11,15,7,37,4309,0,0,2,0
6,4,0,39,1,15,1,12,28,18015,0,0,4,1
35,4,1,39,4,10,7,10,61,4718,0,0,2,0
12,4,1,39,0,11,15,0,45,1416,0,0,4,3
10,4,0,39,4,9,4,1,34,6274,0,0,4,1
13,4,1,39,4,11,15,6,34,8614,0,0,2,0
2,4,1,39,4,15,1,12,12,12391,0,0,4,3
18,4,1,39,4,11,15,14,75,7332,19,0,2,0
6,4,0,39,4,9,4,12,56,10507,0,0,4,3
0,4,0,39,4,1,13,12,6,9455,0,0,4,3
11,4,1,39,4,7,3,12,61,13488,0,0,4,1
27,4,1,39,6,14,6,10,25,5006,0,0,2,0
20,4,1,39,6,11,15,3,34,20038,0,50,2,0
18,4,1,39,4,11,15,4,39,518,0,0,2,0
22,4,1,39,4,11,15,7,37,10527,0,0,2,0
14,4,0,39,4,7,3,13,38,20557,0,0,0,1
16,4,1,39,4,9,4,10,34,18101,0,0,2,0
17,4,1,39,4,9,4,4,50,6193,62,0,2,0
3,4,1,39,4,11,15,6,34,1455,0,0,4,3
17,4,1,39,4,11,15,7,34,14253,0,0,0,1
14,4,1,10,4,12,5,4,56,6242,0,0,2,0
42,4,0,39,4,11,15,1,34,8495,0,0,6,4
22,4,0,39,2,7,3,8,50,5020,0,0,0,4
27,4,1,39,1,8,2,11,42,18701,107,0,2,0
11,4,1,39,4,5,10,10,50,9127,0,0,2,0
24,4,1,39,4,15,1,12,61,4121,0,0,2,0
15,4,1,39,4,9,4,12,39,13869,0,0,0,1
27,2,1,39,1,9,4,4,42,7932,0,0,2,0
26,4,0,39,4,11,15,7,34,13966,0,0,5,1
43,4,1,39,4,6,11,5,39,1731,0,0,2,0
23,4,1,39,4,15,1,3,34,3507,0,0,0,1
11,4,0,39,4,9,4,4,45,56,0,0,2,5
26,4,1,39,7,11,15,3,34,19697,0,0,2,0
21,2,0,39,2,15,1,14,41,15924,0,0,6,1
4,4,0,31,4,15,1,12,34,6932,0,0,4,2
38,4,0,39,4,11,15,1,34,2457,0,0,0,4
8,4,0,39,4,9,4,12,34,14664,0,0,4,3
45,4,1,39,4,9,4,10,45,21240,0,0,2,0
19,4,1,39,4,15,1,4,39,2512,0,0,0,1
14,4,0,39,4,11,15,8,23,5896,0,0,4,1
7,1,0,30,4,8,2,1,34,14338,0,0,4,3
31,4,1,39,4,11,15,14,45,11474,0,0,2,0
12,4,0,39,4,11,15,10,45,13742,0,0,4,1
12,4,1,39,4,15,1,8,34,6534,0,0,4,1
8,4,1,39,4,9,4,4,45,1887,0,0,4,1
48,4,1,39,4,1,13,8,12,13064,0,0,2,0
13,4,0,39,4,11,15,14,66,16106,0,23,4,4
14,4,1,39,4,1,13,5,45,3923,0,0,0,1
24,4,1,39,4,7,3,3,34,6899,0,0,0,3
28,2,1,39,4,12,5,4,34,4220,0,0,2,0
7,4,1,39,4,11,15,3,34,9064,0,0,4,3
16,4,1,39,4,15,1,4,51,9331,0,0,2,0
36,4,1,39,5,10,7,10,34,1,0,0,2,0
7,2,1,39,4,11,15,14,34,14414,0,0,2,0
21,4,0,39,6,11,15,12,16,18214,0,0,2,5
7,4,1,39,4,7,3,4,34,11683,0,0,4,3
34,4,0,39,4,11,15,1,12,19627,0,0,2,5
6,4,1,39,4,15,1,1,39,14356,0,0,4,1
17,4,1,39,6,11,15,3,45,12980,0,0,4,1
24,4,1,39,4,11,15,14,34,21486,0,0,0,1
21,4,1,39,4,8,2,3,45,9209,0,0,2,0
20,4,1,39,4,11,15,4,39,10259,83,0,2,0
27,4,1,39,4,8,2,10,45,10998,0,0,2,0
2,4,0,39,1,15,1,1,1,10279,0,0,4,3
8,4,1,39,0,1,13,0,34,8510,0,0,4,3
20,4,1,39,4,0,12,3,42,11649,0,0,2,0
24,4,1,39,4,11,15,3,39,15975,0,0,2,0
18,4,0,39,4,1,13,7,34,8314,0,0,0,4
20,2,1,39,4,11,15,3,34,20129,0,0,5,2
12,1,1,25,4,8,2,3,34,3032,0,0,2,0
5,4,1,39,4,11,15,3,34,17718,0,0,2,0
44,4,1,39,4,15,1,8,17,2976,0,0,0,1
14,4,1,39,4,9,4,13,37,14302,0,0,2,0
61,4,1,39,0,5,10,0,12,14439,0,0,2,0
16,4,0,39,4,11,15,1,34,1599,0,0,0,4
23,4,1,39,4,9,4,4,34,2082,0,0,2,0
17,4,1,39,2,15,1,3,34,6193,0,0,4,1
20,4,1,0,5,1,13,12,56,7647,0,0,3,1
15,4,1,39,4,9,4,12,56,12720,0,0,2,0
8,4,1,39,4,11,15,12,42,18766,0,0,2,0
20,4,1,39,4,3,8,8,34,16401,0,0,4,1
8,4,0,39,4,7,3,1,34,14598,0,0,4,4
6,2,1,39,4,15,1,7,34,18070,0,0,4,3
22,4,1,39,4,11,15,3,28,17090,0,0,2,0
29,4,1,39,2,9,4,4,42,19888,0,0,2,0
42,4,0,39,6,9,4,10,45,7546,0,0,6,1
18,1,1,1,4,11,15,7,34,21174,0,0,4,1
28,3,1,4,4,11,15,7,34,10339,0,0,6,4
64,4,1,39,4,11,15,4,18,6385,0,67,2,0
30,4,1,39,2,9,4,10,45,9199,0,0,0,1
17,4,1,39,4,15,1,8,45,6060,0,0,2,0
16,2,1,39,4,2,14,3,34,19212,0,0,4,3
1,4,1,39,4,1,13,14,12,4612,0,0,4,3
32,4,1,39,5,15,1,4,45,19565,19,0,2,0
2,4,0,39,4,1,13,12,17,11940,0,0,4,3
38,4,1,39,4,9,4,10,56,18650,0,0,2,0
31,4,1,39,4,8,2,3,34,4318,110,0,2,0
20,4,0,39,0,11,15,0,23,14739,0,0,0,1
35,4,1,39,2,2,14,3,34,2089,0,0,2,0
